投稿日時,日付,時刻,本文,画像ファイル名,ステータス,Day,タグ
2025/11/23 08:43,2025/11/23,08:43,"「子育てが終わったら、私たちに何が残るんだろう？」




今は子供の話題で繋がっているけれど。
それがなくなったら、共通の話題なんてない。
想像するだけで、胸がざわざわする。

「おーい」と呼んでも、返事がない未来。
ただテレビの音だけが響くリビング。
そんな老後は嫌だ。でも、どうすればいいかわからない。

私の実体験はプロフの固定投稿へ。
#空の巣症候群 #熟年離婚 #夫婦の危機 #問題",day29_0843.png,未投稿,29,Week5_Day29-35
2025/11/23 10:17,2025/11/23,10:17,"おはようございます。
未来の不安より、今のコーヒー。
まずは今日一日、心地よく過ごすことだけ考えましょう。
今日も無理せずいきましょう。",day29_1017.png,未投稿,29,Week5_Day29-35
2025/11/23 12:13,2025/11/23,12:13,"【質問】
子どもがいない時、夫婦の会話は弾みますか？

1. 弾む
2. 業務連絡のみ
3. 無言

正直に教えてください🙋‍♀️",day29_1213.png,未投稿,29,Week5_Day29-35
2025/11/23 15:07,2025/11/23,15:07,"「空の巣」は終わりではなく、第二章の始まりです。
恋人時代に戻るのではなく、新しい関係を作るチャンス。

まずは「子供抜きの会話」のリハビリから。
「今日の天気」でも「ニュース」でもいい。
「パパ・ママ」ではなく、名前で呼び合うことから始めてみませんか？




「子どもが巣立った後の夫婦関係を、劇的に良くする3つの準備」
具体的な方法はNoteで公開中。
#空の巣症候群 #夫婦の再構築 #解決策",day29_1507.png,未投稿,29,Week5_Day29-35
2025/11/23 18:18,2025/11/23,18:18,"夫と二人きりの車内。
ラジオだけが流れる気まずい時間。
昔はドライブデート楽しかったのになぁ。
これ、あるあるですよね。
共感したら「いいね」お願いします。",day29_1818.png,未投稿,29,Week5_Day29-35
2025/11/23 20:14,2025/11/23,20:14,"夕方のこの時間。
子供の帰りを待つ時間も、あと数年かな。
今の騒がしさを、少しだけ愛おしく思う。
小さな変化が大事です。",day29_2014.png,未投稿,29,Week5_Day29-35
2025/11/23 21:04,2025/11/23,21:04,"二人きりの時間が怖いあなたへ。

無理に喋らなくていいんです。
「同じ空間にいても苦じゃない」
それが最初のゴールでいい。
焦らず、ゆっくり、二人のペースで。




「子どもが巣立った後の夫婦関係を、劇的に良くする3つの準備」
解決のための「3つのステップ」をNoteにまとめました。
▼記事はプロフのリンクから
#夜専用レス手前の会話レシピ",day29_2104.png,未投稿,29,Week5_Day29-35
2025/11/23 22:07,2025/11/23,22:07,"夜のリビング。
子供が塾でいない夜。
夫がお茶を淹れてくれた。
「ありがとう」と小さく言えた。
同じ気持ちの人、いますか？",day29_2207.png,未投稿,29,Week5_Day29-35
2025/11/23 23:13,2025/11/23,23:13,"今日もお疲れ様でした。
未来のことは誰にもわからない。
でも、今日の温もりは嘘じゃない。
おやすみなさい。",day29_2313.png,未投稿,29,Week5_Day29-35
2025/11/23 23:13,2025/11/23,23:13,"明日は今日より少しだけ、心が軽くなりますように。
二人の未来が、優しい色でありますように。
プロフの固定投稿もぜひ。
おやすみなさい。",day29_2313.png,未投稿,29,Week5_Day29-35
2025/11/24 07:03,2025/11/24,07:03,"「話を聞いてほしいだけなのに、解決策ばかり言われてモヤモヤしませんか？」




「で、結論は？」
その言葉で、話す気が失せる。
私はただ、「大変だったね」って言ってほしいだけ。
共感が欲しいだけなのに。

会話が噛み合わない。
キャッチボールじゃなくて、ドッジボールみたい。
痛いよ、その正論。

私の実体験はプロフの固定投稿へ。
#会話なし #すれ違い #夫婦関係 #問題",day30_0703.png,未投稿,30,Week5_Day29-35
2025/11/24 08:12,2025/11/24,08:12,"おはようございます。
言葉が届かない時は、付箋にメッセージを。
「冷蔵庫にプリンあるよ」
そんな小さなメモが、会話のきっかけになります。
今日も無理せずいきましょう。",day30_0812.png,未投稿,30,Week5_Day29-35
2025/11/24 10:05,2025/11/24,10:05,"【質問】
パートナーに「話を聞いてない」と怒られたことはありますか？

1. よくある
2. たまにある
3. ない（相手が聞いてない）

正直に教えてください🙋‍♀️",day30_1005.png,未投稿,30,Week5_Day29-35
2025/11/24 12:11,2025/11/24,12:11,"会話のズレは、脳の使い方の違いかもしれません。
夫が悪気があるわけじゃないんです。

「ただ聞いてほしいだけなんだけど」
最初にそう宣言するだけで、夫は「聞くモード」に切り替えやすくなります。
取扱説明書を渡すような感覚で。




「夫が話を聞いてくれない！を解決する、魔法の枕詞」
具体的な方法はNoteで公開中。
#会話術 #夫婦のコミュニケーション #解決策",day30_1211.png,未投稿,30,Week5_Day29-35
2025/11/24 15:08,2025/11/24,15:08,"一生懸命話してるのに「ふーん」で終了。
壁と話してる方がマシかもって思う瞬間。
虚しいなぁ。
これ、あるあるですよね。
共感したら「いいね」お願いします。",day30_1508.png,未投稿,30,Week5_Day29-35
2025/11/24 17:45,2025/11/24,17:45,"夕方のこの時間。
「今日のご飯なに？」
それ以外の言葉も、たまには聞きたいな。
小さな変化が大事です。",day30_1745.png,未投稿,30,Week5_Day29-35
2025/11/24 20:02,2025/11/24,20:02,"会話が続かないと嘆くあなたへ。

相手を変えるのは難しい。
でも、自分の投げ方は変えられます。
豪速球じゃなくて、ふんわりとしたボールを投げてみて。
きっと受け取ってくれます。




「夫が話を聞いてくれない！を解決する、魔法の枕詞」
解決のための「3つのステップ」をNoteにまとめました。
▼記事はプロフのリンクから
#夜専用レス手前の会話レシピ",day30_2002.png,未投稿,30,Week5_Day29-35
2025/11/24 21:15,2025/11/24,21:15,"夜のリビング。
CMの間に、少しだけ雑談できた。
内容は忘れるくらい些細なこと。
でも、嬉しかった。
同じ気持ちの人、いますか？",day30_2115.png,未投稿,30,Week5_Day29-35
2025/11/24 22:05,2025/11/24,22:05,"今日もお疲れ様でした。
言葉は心への架け橋。
明日はもっと、優しい橋がかかりますように。
おやすみなさい。",day30_2205.png,未投稿,30,Week5_Day29-35
