post_id,text,datetime,likes,retweets,comments,hashtags,mentions,urls
1,"残高274円の夜、冷凍パスタを半分残した。あの時、人生ってこんなもんかと思ってた。でも次の朝、「このままじゃ終われない」ってぼんやり思った。あれが、全部の始まりだったんだよ。",2025-01-01 20:00:00,150,30,5,#げすいぬ #底辺脱出,,
2,"毎日コンビニ飯とビールで「まあこんなもんか」って言ってるやつ、それもう現実逃避のループやで。3年後も同じ場所に立ってるぞ。抜け出すやつはみんな、静かに準備してる。ホゲーっとしてるうちに人生終わるで。",2025-01-02 12:00:00,320,65,12,#げすいぬ,,
3,"夜中2時。冷めたカップ麺すすりながら、Xで他人の成功話見てた。何も変わらんまま、明日も同じ朝が来ると思ってた。",2025-01-03 01:45:00,95,18,3,#げすいぬ #泥人間,,
4,"でもある日、上司が笑いながら言った。「お前、夢とかないの？」頭の中が真っ白になった。あの瞬間、「このままじゃ終われない」って思った。",2025-01-03 01:50:00,180,42,8,#げすいぬ,,
5,"あの時から少しずつ変えた。情報に金を払うようにして、気づけば人生が静かに動き出した。泥の中でも、足を動かせば沈まない。お前も、そろそろ浮上しようぜ。",2025-01-03 01:55:00,250,58,15,#げすいぬ #底辺脱出,,
6,"コンビニで毎日何か買ってるやつ、年間11万損してるぞ。自販機で飲み物買うな。スーパーでまとめ買いしろ。",2025-01-04 09:00:00,420,88,22,#節約 #げすいぬ,,
7,"俺も昔は寝落ち泥人間だった。コンビニ飯とビール2本、ホゲー。でもXに1行だけ書いてみると脳みそがバグるんだぞ。お前も今夜1行だけやってみよう。3日でちょっと世界が変わるんだ。",2025-01-05 21:30:00,510,120,35,#げすいぬ #X運用,,
8,"タバコ1日1箱、年間22万円。外食週4回、年間21万円。それで「金がない」って言ってるんだぞ。まず無駄遣いを見直せ。",2025-01-06 10:15:00,380,75,18,#げすいぬ #節約,,
9,"「副業したい」って言う奴、本当は金が欲しいんじゃない。「自分にもまだ可能性がある」と思いたいだけ。人は商品じゃなく希望を買うんや。",2025-01-07 14:20:00,290,52,14,#げすいぬ #副業,,
10,"今日もホゲーっとX眺めて寝るだけか？でも、たった3分で人生変わる方法があるんだ。今夜1行だけ書いてみるとええ。1ヶ月後、周りはお前を違う目で見るぞ。",2025-01-08 08:00:00,200,40,9,#げすいぬ,,
