account_name,text,datetime,likes,retweets,comments,hashtags,mentions
@example_guru,"成功するやつは朝活してる。お前も5時起きしろ。人生変わるぞ。",2025-01-01 06:00:00,8500,1200,450,#朝活 #成功,
@money_master,"貯金ゼロのやつ、まず収入の10%を先取り貯金しろ。これだけで1年で50万貯まる。",2025-01-01 10:30:00,12000,2100,680,#貯金術 #お金,
@side_hustler,"副業で月5万稼ぐのは簡単。noteで情報発信するだけ。3ヶ月で収益化できるぞ。",2025-01-02 09:15:00,6800,980,320,#副業 #note,
@minimalist_life,"物を減らせ。500個→100個にしたら人生マジで変わった。無駄な消費から解放される。",2025-01-02 15:45:00,9200,1500,410,#ミニマリスト #断捨離,
@workout_king,"筋トレしろ。週3で30分でいい。3ヶ月で別人になれる。自信も金も手に入る。",2025-01-03 07:00:00,15000,2800,920,#筋トレ #自己投資,
@book_reader,"月10冊読め。年間120冊読むだけで上位1%に入れる。知識は武器だ。",2025-01-03 20:00:00,7500,1100,380,#読書 #自己啓発,
@invest_pro,"積立NISAで月3万、20年で2000万貯まる。今すぐ始めろ。",2025-01-04 11:20:00,11000,1900,550,#投資 #NISA,
@sns_master,"X運用のコツは毎日投稿。3ヶ月で1000フォロワー、半年で1万達成した。",2025-01-04 18:30:00,5200,750,210,#X運用 #SNS,
@time_hacker,"時間術マスターしろ。スマホ時間を1日2時間削るだけで年間730時間作れる。",2025-01-05 08:45:00,8900,1300,440,#時間術 #生産性,
@career_advisor,"転職で年収200万上げた。スキルより行動力。求人サイト見るだけじゃなく動け。",2025-01-05 12:00:00,9800,1600,520,#転職 #キャリア,
@frugal_expert,"固定費見直せ。スマホ、保険、サブスク。年間30万浮く。その金で投資しろ。",2025-01-06 09:30:00,13000,2200,780,#節約 #固定費,
@content_creator,"コンテンツは毎日出せ。質より量。100本出して初めてわかることがある。",2025-01-06 16:00:00,6100,890,270,#コンテンツ #note,
@sleep_optimizer,"睡眠7時間確保しろ。パフォーマンス30%上がる。夜更かしは人生の無駄。",2025-01-07 07:15:00,7800,1150,340,#睡眠 #健康,
@habit_builder,"習慣化のコツは小さく始めること。1分でもいい。3週間続ければ勝ち。",2025-01-07 13:45:00,10500,1800,620,#習慣化 #継続,
@mindset_coach,"マインドセット変えろ。「できない」を「どうやったらできる？」に変えるだけで人生変わる。",2025-01-08 10:00:00,14500,2500,890,#マインドセット #成長,
