"Text","Image URL","Tags","Posting Time"
"「子供の未来と自分たちの未来、どちらを優先しますか？」




塾代、学費、習い事。
湯水のようにお金が出ていく。
「なんとかなる」と言う夫。
通帳を見て青ざめる私。

このままじゃ破綻する。
でも、子供の可能性は潰したくない。
板挟みで、夜も眠れない。

私の実体験はプロフの固定投稿へ。
#教育費 #老後資金 #家計の悩み #問題","","Week6_Day36-42","2026-01-03 08:38"
"おはようございます。
お金の不安は、情報の不足から。
今日はFPさんのブログでも読んでみようかな。
知識は武器です。
今日も無理せずいきましょう。","","Week6_Day36-42","2026-01-03 10:13"
"【質問】
子供の教育費、どこまで出す予定ですか？

1. 大学まで全部
2. 奨学金併用
3. 高校まで

正直に教えてください🙋‍♀️","","Week6_Day36-42","2026-01-03 12:07"
"お金を使うことに罪悪感を持たないで。
それは「消費」ではなく「投資」です。

家族旅行で得た経験は、子供の心を豊かにする。
夫婦で美味しいものを食べた記憶は、老後の会話になる。
「何にお金を使うか」は「どう生きるか」と同じです。




「教育費貧乏にならない！賢い夫婦のお金の使い分け術」
具体的な方法はNoteで公開中。
#マネーリテラシー #生き金 #解決策","","Week6_Day36-42","2026-01-03 14:18"
"ママ友の「夏休みハワイ行くの」マウント。
うちは近所の市民プールですけど何か？
比べちゃダメってわかってるけど、モヤる。
これ、あるあるですよね。
共感したら「いいね」お願いします。","","Week6_Day36-42","2026-01-03 16:23"
"夕方のこの時間。
もやし料理のレパートリーが増えていく。
節約もゲームだと思えば楽しい...かな？
小さな変化が大事です。","","Week6_Day36-42","2026-01-03 19:12"
"お金の使い道で迷うあなたへ。

正解はありません。
夫婦で話し合って「これでいい」と決めたなら、それが正解です。
一番の無駄遣いは、使った後に後悔すること。
胸を張って使いましょう。




「教育費貧乏にならない！賢い夫婦のお金の使い分け術」
解決のための「3つのステップ」をNoteにまとめました。
▼記事はプロフのリンクから
#夜専用レス手前の会話レシピ","","Week6_Day36-42","2026-01-03 20:29"
"夜のリビング。
電卓叩いてたら、夫がコーヒー淹れてくれた。
「いつもありがとう」って。
プライスレスな瞬間。
同じ気持ちの人、いますか？","","Week6_Day36-42","2026-01-03 21:37"
"今日もお疲れ様でした。
お金は巡るもの。
きっとまた入ってきます。
おやすみなさい。","","Week6_Day36-42","2026-01-03 22:48"
"明日は今日より少しだけ、心が軽くなりますように。
豊かな心が、一番の財産。
プロフの固定投稿もぜひ。
おやすみなさい。","","Week6_Day36-42","2026-01-03 23:33"
