"Text","Image URL","Tags","Posting Time"
"「公立で十分だろ」
夫はテレビを見ながら軽く言う。

私は中学受験させたい。
子供も「行きたい」と言っている。
でも夫は「俺は公立だった」という経験則だけで反対する。
時代が違うのよ。

子供の可能性を広げたいだけなのに。
お金がないと、夢も見られないの？
親としての責任、重すぎる。
夫の無関心が、一番の壁。

私の実体験はプロフの固定投稿へ。
#教育費 #中学受験 #子育ての悩み #問題","","Week7-8_Day43-60","2026-01-12 07:03"
"おはようございます。
子供のランドセル姿を見送る。
この子の未来のために、何ができるだろう。
パート増やそうかな。
母は強し、でも時々泣きたくなる。
今日も無理せずいきましょう。","","Week7-8_Day43-60","2026-01-12 08:12"
"【質問】
子供の教育費、不安ですか？

1. 超不安（足りるか心配）
2. なんとかなる（楽観的）
3. 準備万端（余裕）

正直に教えてください🙋‍♀️","","Week7-8_Day43-60","2026-01-12 10:05"
"教育費のために、今の生活を犠牲にしていませんか？
親が疲弊していては、子供も幸せになれません。

お金をかけずに「体験」を増やす。
「考える力」を育てる会話をする。
家庭でできる最高の教育があります。
お金の呪縛から解き放たれましょう。
大切なのは、どこの学校に行くかより、どう生きるか。




「教育費貧乏にならない！賢い親が選ぶ『コスパ最強の家庭教育』」
具体的な方法はNoteで公開中。
#教育 #子育て #解決策","","Week7-8_Day43-60","2026-01-12 12:11"
"塾代の請求書見てため息。
夫は「高いなー」の一言だけ。
誰のために働いてると思ってるの？
もっと関心持ってよ。
「高い」じゃなくて「頑張ろう」って言ってよ。
共感したら「いいね」お願いします。","","Week7-8_Day43-60","2026-01-12 15:08"
"夕方のこの時間。
子供が「ただいま」と帰ってくる。
泥だらけの靴。
元気ならそれでいいか。
成績表は見なかったことにしよう。
笑顔が一番の宝物。","","Week7-8_Day43-60","2026-01-12 17:45"
"教育方針で夫と揉めてしまうあなたへ。

正解なんてありません。
大切なのは、夫婦で話し合う姿勢を見せること。
「パパとママは、あなたのことを一番に考えてるよ」
そのメッセージが伝われば、子供は強く育ちます。
愛を注ぎましょう。
子供は親の背中を見て育つから。




「教育費貧乏にならない！賢い親が選ぶ『コスパ最強の家庭教育』」
解決のための「3つのステップ」をNoteにまとめました。
▼記事はプロフのリンクから
#夜専用レス手前の会話レシピ","","Week7-8_Day43-60","2026-01-12 20:02"
"夜のリビング。
子供の将来について夫と語り合った。
「あいつ、意外としっかりしてるよな」
親バカ全開で笑い合った。
敵だと思ってたけど、同じ親なんだな。
同じ気持ちの人、いますか？","","Week7-8_Day43-60","2026-01-12 21:15"
"今日もお疲れ様でした。
子供は親の鏡。
笑顔でいることが最高の教育。
おやすみなさい。","","Week7-8_Day43-60","2026-01-12 22:05"
"明日は今日より少しだけ、心が軽くなりますように。
子供の寝顔に、癒されますように。
プロフの固定投稿もぜひ。
おやすみなさい。","","Week7-8_Day43-60","2026-01-12 23:11"
