投稿ID,日付,曜日,フェーズ,カテゴリ,タイトル,投稿本文,文字数,ハッシュタグ,画像有無,画像URL,noteリンク,ステータス,予約日時,インプレッション,エンゲージメント,エンゲージメント率,リンククリック,メモ
1,2025/1/1,水,Q1,基礎教育,米国株自動売買ってそもそも何？,"【2025年、新しい学びを始めよう】

米国株の自動売買プログラム、聞いたことありますか？

実は、Pythonを使えば
「寝てる間も株を監視してくれる」
「感情に左右されない取引ができる」
システムが作れます🤖

しかも資金ゼロでも学べる方法が👇

詳しくはnoteで
https://note.com/ai_narrative25

#Python #自動売買 #投資教育 #プログラミング初心者",245,#Python #自動売買 #投資教育 #プログラミング初心者,TRUE,,https://note.com/ai_narrative25,未作成,2025/1/1 7:00,,,,初回投稿
2,2025/1/2,木,Q1,基礎教育,Pythonで株トレードを自作するメリット,"Pythonで自動売買を作る3つのメリット

✅ 24時間監視してくれる
✅ 感情的な判断を排除できる
✅ バックテストで検証できる

「仕事が忙しくて相場を見られない」
「ついポジポジ病になる」

そんな悩み、自動化で解決できます。

学び方はnoteで解説👇
https://note.com/ai_narrative25

#自動売買 #Python学習 #副業エンジニア",238,#自動売買 #Python学習 #副業エンジニア,TRUE,,,未作成,2025/1/2 7:00,,,,
3,2025/1/3,金,Q1,基礎教育,ペーパートレードとは？,"【お金使わずに投資を学ぶ方法】

「投資に興味はあるけど、資金が...」

そんな人に朗報！

ペーパートレード（仮想取引）なら
・実際のお金は不要
・リアルタイムの価格で体験
・失敗してもノーリスク

自動売買の勉強にも最適です🤖

始め方はこちら👇
https://note.com/ai_narrative25

#ペーパートレード #投資初心者 #リスクゼロ",218,#ペーパートレード #投資初心者 #リスクゼロ,TRUE,,,未作成,2025/1/3 7:00,,,,
4,2025/1/4,土,Q1,技術解説,GitHub連携で学ぶ自動売買,"プログラミング学習の新常識

GitHub × 自動売買 = 最強の学習環境

・実際に動くコードを触れる
・バージョン管理で変更履歴を追える
・コミュニティで質問もできる

教育用GitHubリポジトリ公開中📊

#GitHub #プログラミング学習 #自動売買",197,#GitHub #プログラミング学習 #自動売買,TRUE,,,未作成,2025/1/4 7:00,,,,
5,2025/1/5,日,Q1,技術解説,AlpacaAPIの魅力,"【無料で使えるペーパートレードAPI】

Alpaca API の3つの魅力

1️⃣ 完全無料のペーパートレード
2️⃣ リアルタイムの米国株価
3️⃣ Pythonで簡単に連携

プログラミング初心者でも
わかりやすいドキュメント完備📚

始め方を解説中👇
https://note.com/ai_narrative25

#AlpacaAPI #ペーパートレード #Python",224,#AlpacaAPI #ペーパートレード #Python,TRUE,,,未作成,2025/1/5 7:00,,,,
6,2025/1/6,月,Q1,技術解説,Python環境構築の第一歩,"【Python環境構築、つまづいてませんか？】

自動売買を学ぶ前に
まずは環境構築から🛠️

・Pythonインストール
・仮想環境の作成
・必須ライブラリの導入

画像付きで徹底解説しました
noteで確認👇
https://note.com/ai_narrative25

#Python環境構築 #初心者向け #プログラミング",211,#Python環境構築 #初心者向け #プログラミング,TRUE,,,未作成,2025/1/6 7:00,,,,
7,2025/1/7,火,Q1,技術解説,仮想環境って何？,"【仮想環境を使うべき3つの理由】

Pythonの仮想環境（venv）って必要？

答え：YES！

✅ プロジェクトごとに独立
✅ ライブラリの衝突を防ぐ
✅ チーム開発で環境統一

たった3コマンドで作れます💻

詳しくはnoteで👇
https://note.com/ai_narrative25

#Python #仮想環境 #開発環境",213,#Python #仮想環境 #開発環境,TRUE,,,未作成,2025/1/7 7:00,,,,
8,2025/1/8,水,Q1,技術解説,必須ライブラリのインストール,"【自動売買に必要なライブラリ】

これだけは入れておこう📦

pandas - データ処理
numpy - 数値計算
matplotlib - グラフ描画
alpaca-trade-api - ペーパートレード

インストールコマンド付きで
note記事にまとめました👇
https://note.com/ai_narrative25

#Pythonライブラリ #pandas #データ分析",222,#Pythonライブラリ #pandas #データ分析,TRUE,,,未作成,2025/1/8 7:00,,,,
9,2025/1/9,木,Q1,技術解説,Streamlitで可視化,"【ノーコードでグラフ作成】

Streamlit を使えば
Pythonで作ったデータを
ブラウザで綺麗に表示できる✨

・コード10行でダッシュボード
・インタラクティブな操作
・共有も簡単

自動売買の結果を可視化するのに最適📊

#Streamlit #データ可視化 #Python",206,#Streamlit #データ可視化 #Python,TRUE,,,未作成,2025/1/9 7:00,,,,
10,2025/1/10,金,Q1,データ分析,初めての株価データ取得,"【最初の一歩：株価を取得してみよう】

Alpaca APIで
AAPLの株価を取得するコード

たった5行で動きます💡

```python
api.get_latest_quote('AAPL')
```

実行結果を見ると
「プログラムで株価が見れた！」
という感動が味わえます🎉

note記事で全コード公開👇

#株価取得 #Python #API連携",232,#株価取得 #Python #API連携,TRUE,,,未作成,2025/1/10 7:00,,,,
