"Text","Image URL","Tags","Posting Time"
"「ゴミ出しといたよ」「ありがとう」。




でも、ふとした瞬間。
スマホを見ている彼の背中が、ひどく遠くに感じることはありませんか？
同じ部屋にいるのに、まるで違う惑星に住んでいるみたい。




この「静かな距離」に気づいてしまった朝は、少しだけ胸が痛む。","","Day1","2025-11-23 08:43"
"おはようございます。
今朝の「行ってきます」、相手の目を見て言いましたか？
私は背中に向かって言ってしまいました。
明日は1秒でいいから、目を合わせよう。自戒を込めて。","","Day1","2025-11-23 10:17"
"【質問】
夫が「今、一番食べたいもの」即答できますか？




私は自信満々に「唐揚げ」って答えたら、
「最近は胃もたれするから刺身がいい」って言われました。
情報の更新、止まってませんか？","","Day1","2025-11-23 12:13"
"「疲れたね」を「ありがとう」に変えるだけで、空気は1秒で変わる。




業務連絡だけのLINE画面を見て、ため息をつくのはもう終わりにしませんか？
今日のお昼休み、スタンプ1個でいい。「お疲れ様」のねぎらいを送ってみる。




それだけで、夜の食卓の温度が少し上がるはずです。","","Day1","2025-11-23 15:07"
"「戦友」としては100点満点。
でも「恋人」としては赤点。




そんな通知表を突きつけられた気分になる瞬間、ありませんか？
子育てというプロジェクトを回すパートナーとしては最高。
でも、ふと「私、女として見られてる？」って不安になる。","","Day1","2025-11-23 18:18"
"「牛乳買ってきて」は秒で送れるのに、
「早く帰ってきて」の7文字が送れない。
送信ボタンの上で親指が止まる夕暮れ。","","Day1","2025-11-23 20:14"
"離婚したいわけじゃない。
ただ、昔みたいに「何でもないこと」で笑い合いたいだけ。




そんな「プチレス予備軍」のあなたへ。
私が関係を修復するために実践した、夜の会話レシピをNoteにまとめました。
現状把握から始めてみませんか？




▼記事はプロフのリンクから
#夜専用レス手前の会話レシピ","","Day1","2025-11-23 21:04"
"子どもが寝た後のリビング。
静寂の中で、スマホのタップ音だけが響く。




この「音」が、私たちの会話の代わりになってしまった。
画面の中の誰かとは繋がっているのに、
隣にいるあなたとは繋がれない。","","Day1","2025-11-23 22:07"
"隣で寝息を立てる夫。
その背中に手を伸ばそうとして、引っ込める。




触れたいのか、触れられたいのか。
自分でもわからなくなる夜。
ただ、温もりだけが欲しいのに。","","Day1","2025-11-23 23:13"
"明日は今日より1mmだけ、心の距離が縮まりますように。
おやすみなさい。
同じ空の下、同じ悩みを抱えるあなたへ。","","Day1","2025-11-23 23:13"
"朝のリビング。
子どもの笑い声で満たされている今は、まだいい。




でもふと想像してしまう。
10年後、この部屋から子どもの声が消えたら。
残るのは、テレビの音と食器のカチャカチャだけ。




「あの老夫婦みたいに、穏やかに話せるかな？」
不安が胸をよぎる朝。
でも今日から、少しずつ「二人の時間」を取り戻したい。","","Day2","2025-11-24 07:03"
"昨日、子ども抜きで夫と何分話した？

数えたら、0分だった。

今日は3分、目標にしてみる。","","Day2","2025-11-24 08:12"
"【問いかけ】
縁側でお茶を飲む老夫婦の理想。
無言でテレビを見る老人の現実。

あなたはどっちに向かってますか？","","Day2","2025-11-24 10:05"
"【未来の楽しみ予約】
スマホのカレンダーに、初めて入れた。
「二人でカフェ」って。




子どもが友達と遊ぶ日に、夫を誘ってみた。
「え、二人で？」って驚かれたけど。




未来が怖いなら、今から未来の練習をしよう。
小さな「二人の予定」が、希望になる。","","Day2","2025-11-24 12:11"
"沈黙が心地よい関係と、
沈黙が苦痛な関係。

紙一重だけど、全然違う。

今、どっちに向かってるんだろう。","","Day2","2025-11-24 15:08"
"スーパーで、夫の好きなビール。

喧嘩してても、
つい、カゴに入れちゃう。","","Day2","2025-11-24 17:45"
"「子どものために離婚しない」

その言葉が、子どもにとって一番重いかもしれない。




子どもは見てる。
パパとママが笑ってるか、目を合わせてるか。




「仲良し家族」を演じるより、
本当に仲良くなる努力の方が、子どもは嬉しい。




夫婦を再構築する具体的なステップ、
Noteにまとめました。
→ #夜専用レス手前の会話レシピ","","Day2","2025-11-24 20:02"
"寝室別にして3年。

快適さと引き換えに、
失ったものの大きさに、
最近気づき始めた。","","Day2","2025-11-24 21:15"
"おやすみハグ、してみたい。

でも自分からは言えなくて。

誰か、背中押して。","","Day2","2025-11-24 22:05"
"不安な未来を想像したら、
温かい飲み物でも飲んで、
深呼吸。

明日はまた、新しい一日。","","Day2","2025-11-24 23:11"
"朝のLINE。
「燃えるゴミ、いつだっけ?」
「水曜」
「了解」




気づけば、すべての会話が業務連絡。
家事の段取り、子どもの送迎、支払いの確認。




いつから私たち、共同経営者になったんだろう。




「好き」とか「楽しい」とか、
そういう言葉、最後にいつ交わしたっけ？
ふと立ち止まる朝。","","Day3","2025-11-25 07:06"
"夫からのLINE。

「了解」スタンプのみ。

心のシャッター、
音を立てて閉まった気がした。","","Day3","2025-11-25 08:09"
"【問いかけ】
夫がお風呂で口ずさんでる歌、
知ってますか？

私は知らない。
それが、ちょっと悲しい。","","Day3","2025-11-25 10:15"
"【5分だけ向き合う】
今日、スマホ置いて5分だけ話してみた。

「最近どう？」って。




最初は「別に」だったけど、
3分過ぎたあたりから、
仕事の愚痴とか、ぽつぽつ話してくれた。




感情の共有、久しぶりすぎて新鮮だった。","","Day3","2025-11-25 12:04"
"LINEのトーク履歴、見返してみた。

業務連絡の羅列。

3年前にスクロールしたら、
ハートマーク見つけて、
ちょっと泣きそうになった。","","Day3","2025-11-25 15:12"
"「おかえり」のトーンで、
今夜の空気、
だいたい決まる。","","Day3","2025-11-25 17:52"
"業務連絡だけの会話から抜け出す、
3つの話題。

1. 今日あった小さな面白いこと
2. 相手の好きだったもの
3. 未来の小さな計画




沈黙を埋める会話のリハビリ、
Noteに具体例まとめました。
→ #夜専用レス手前の会話レシピ","","Day3","2025-11-25 20:08"
"テレビのバラエティで、
夫が大笑いしてる。

その笑顔、
私には向けてくれないな。","","Day3","2025-11-25 21:21"
"ダブルベッドの真ん中に、
見えない壁がある。

それぞれが端で寝る、
今夜も。","","Day3","2025-11-25 22:11"
"言葉にできなかった想い、
明日に持ち越してもいい。

焦らなくていい。
ゆっくり、ゆっくり。","","Day3","2025-11-25 23:05"
"「ねえ、これ」
「ちょっと、それ取って」




気づけば、名前で呼ばれなくなって何年経った？




結婚前は「○○ちゃん」って、
照れくさそうに呼んでくれたのに。
今は「ママ」か「ねえ」。




私には名前があるのに。




ふと鏡を見て思う。
「私」って、ここにいるのかな？
役割だけになってないかな？","","Day4","2025-11-26 07:02"
"子どもが「ママ！」って呼ぶ。
夫も「ママ」って呼ぶ。

私の名前、
誰も呼んでくれない。","","Day4","2025-11-26 08:15"
"【問いかけ】
最後にパートナーに名前で呼ばれたの、
いつですか？

思い出せない人、意外と多いかも。","","Day4","2025-11-26 10:08"
"【小さな実験】
今朝、夫に「○○さん」って名前で呼びかけてみた。




「え？」って驚かれたけど、
ちょっと嬉しそうだった。




名前で呼び合う。
それだけで、関係が変わるかもしれない。
今日から、意識してみる。","","Day4","2025-11-26 12:15"
"「ママ」って役割に埋もれて、
「私」が見えなくなってた。

名前を取り戻したい。","","Day4","2025-11-26 15:05"
"今夜、勇気出して言ってみよう。

「私の名前で呼んで」って。","","Day4","2025-11-26 17:55"
"名前で呼び合うことの大切さ。

それは、相手を「役割」じゃなく「人」として見ること。




「ママ」「パパ」じゃなく、
二人の名前で呼び合う時間を作る。




夫婦の距離を縮める、名前の魔法。
Noteに書きました。
→ #夜専用レス手前の会話レシピ","","Day4","2025-11-26 20:04"
"寝る前の「おやすみ」。

「ねえ、おやすみ」じゃなくて、
名前で言ってみたい。","","Day4","2025-11-26 21:12"
"昔の写真見てたら、
彼が私の名前呼んでる動画見つけた。

嬉しそうに。

また、そんな風に呼ばれたいな。","","Day4","2025-11-26 22:08"
"名前を取り戻す旅、
今日から始めてみる。

小さな一歩から。","","Day4","2025-11-26 23:15"
