投稿日時,日付,時刻,本文,画像ファイル名,ステータス,Day,タグ
2025/11/23 08:43,2025/11/23,08:43,"「ゴミ出しといたよ」「ありがとう」。




でも、ふとした瞬間。
スマホを見ている彼の背中が、ひどく遠くに感じることはありませんか？
同じ部屋にいるのに、まるで違う惑星に住んでいるみたい。




この「静かな距離」に気づいてしまった朝は、少しだけ胸が痛む。",day1_0843.png,未投稿,1,Week1-4_Day1-28
2025/11/23 10:17,2025/11/23,10:17,"おはようございます。
今朝の「行ってきます」、相手の目を見て言いましたか？
私は背中に向かって言ってしまいました。
明日は1秒でいいから、目を合わせよう。自戒を込めて。",day1_1017.png,未投稿,1,Week1-4_Day1-28
2025/11/23 12:13,2025/11/23,12:13,"【質問】
夫が「今、一番食べたいもの」即答できますか？




私は自信満々に「唐揚げ」って答えたら、
「最近は胃もたれするから刺身がいい」って言われました。
情報の更新、止まってませんか？",day1_1213.png,未投稿,1,Week1-4_Day1-28
2025/11/23 15:07,2025/11/23,15:07,"「疲れたね」を「ありがとう」に変えるだけで、空気は1秒で変わる。




業務連絡だけのLINE画面を見て、ため息をつくのはもう終わりにしませんか？
今日のお昼休み、スタンプ1個でいい。「お疲れ様」のねぎらいを送ってみる。




それだけで、夜の食卓の温度が少し上がるはずです。",day1_1507.png,未投稿,1,Week1-4_Day1-28
2025/11/23 18:18,2025/11/23,18:18,"「戦友」としては100点満点。
でも「恋人」としては赤点。




そんな通知表を突きつけられた気分になる瞬間、ありませんか？
子育てというプロジェクトを回すパートナーとしては最高。
でも、ふと「私、女として見られてる？」って不安になる。",day1_1818.png,未投稿,1,Week1-4_Day1-28
2025/11/23 20:14,2025/11/23,20:14,"「牛乳買ってきて」は秒で送れるのに、
「早く帰ってきて」の7文字が送れない。
送信ボタンの上で親指が止まる夕暮れ。",day1_2014.png,未投稿,1,Week1-4_Day1-28
2025/11/23 21:04,2025/11/23,21:04,"離婚したいわけじゃない。
ただ、昔みたいに「何でもないこと」で笑い合いたいだけ。




そんな「プチレス予備軍」のあなたへ。
私が関係を修復するために実践した、夜の会話レシピをNoteにまとめました。
現状把握から始めてみませんか？




▼記事はプロフのリンクから
#夜専用レス手前の会話レシピ",day1_2104.png,未投稿,1,Week1-4_Day1-28
2025/11/23 22:07,2025/11/23,22:07,"子どもが寝た後のリビング。
静寂の中で、スマホのタップ音だけが響く。




この「音」が、私たちの会話の代わりになってしまった。
画面の中の誰かとは繋がっているのに、
隣にいるあなたとは繋がれない。",day1_2207.png,未投稿,1,Week1-4_Day1-28
2025/11/23 23:13,2025/11/23,23:13,"隣で寝息を立てる夫。
その背中に手を伸ばそうとして、引っ込める。




触れたいのか、触れられたいのか。
自分でもわからなくなる夜。
ただ、温もりだけが欲しいのに。",day1_2313.png,未投稿,1,Week1-4_Day1-28
2025/11/23 23:13,2025/11/23,23:13,"明日は今日より1mmだけ、心の距離が縮まりますように。
おやすみなさい。
同じ空の下、同じ悩みを抱えるあなたへ。",day1_2313.png,未投稿,1,Week1-4_Day1-28
